"","PIM.ID","EAN","External.Title","brand","tl_item.ASSETS.0","Short.description"
"1470",317213,8713568363952,"WAYZ E-GO ACT PLUS HN8 53 ZWART-M 400Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE500453/BE500453_b5b6afecb2.jpg","Hou jij ook zo van lekker actief zijn in de buitenlucht, genietend van oer-Hollandse luchten en al het groen om je heen? Genieten is alles wat je hoeft te doen op de Wayz E-go® Active Plus. Ook al staat er een stevige wind, zweten en zwoegen is op deze allround e-bike verleden tijd!"
"1471",317214,8713568363969,"WAYZ E-GO ACT PLUS HN8 57 ZWART-M 400Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE500453/BE500453_b5b6afecb2.jpg","Hou jij ook zo van lekker actief zijn in de buitenlucht, genietend van oer-Hollandse luchten en al het groen om je heen? Genieten is alles wat je hoeft te doen op de Wayz E-go® Active Plus. Ook al staat er een stevige wind, zweten en zwoegen is op deze allround e-bike verleden tijd!"
"1472",317215,8713568363976,"WAYZ E-GO ACT PLUS HN8 61 ZWART-M 400Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE500453/BE500453_b5b6afecb2.jpg","Hou jij ook zo van lekker actief zijn in de buitenlucht, genietend van oer-Hollandse luchten en al het groen om je heen? Genieten is alles wat je hoeft te doen op de Wayz E-go® Active Plus. Ook al staat er een stevige wind, zweten en zwoegen is op deze allround e-bike verleden tijd!"
"1473",317216,8713568363983,"WAYZ E-GO ACT PLUS HN8 65 ZWART-M 400Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE500453/BE500453_b5b6afecb2.jpg","Hou jij ook zo van lekker actief zijn in de buitenlucht, genietend van oer-Hollandse luchten en al het groen om je heen? Genieten is alles wat je hoeft te doen op de Wayz E-go® Active Plus. Ook al staat er een stevige wind, zweten en zwoegen is op deze allround e-bike verleden tijd!"
"1474",317217,8713568364065,"WAYZ E-GO ACT PLUS XN8 48 PARELMOER 500Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_1a9794a860.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_1_L_WEB72_b4cea39a66.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_2_L_WEB72_b4e1516c98.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_3_L_WEB72_8a9b6585a8.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_4_L_WEB72_24ea142c2c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_5_L_WEB72_c75ac8cec1.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_6_L_WEB72_3196978190.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_7_L_WEB72_7343031c6a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_8_L_WEB72_deb317fef0.jpg","Is comfort alleen niet genoeg? Met de extra  krachtige Bosch-Active-Plus-middenmotor, de acht versnellingen en hydraulische remmen fiets je heel wat veilige én comfortabele kilometers weg! "
"1475",317218,8713568364072,"WAYZ E-GO ACT PLUS XN8 53 PARELMOER 500Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_1a9794a860.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_1_L_WEB72_b4cea39a66.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_2_L_WEB72_b4e1516c98.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_3_L_WEB72_8a9b6585a8.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_4_L_WEB72_24ea142c2c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_5_L_WEB72_c75ac8cec1.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_6_L_WEB72_3196978190.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_7_L_WEB72_7343031c6a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_8_L_WEB72_deb317fef0.jpg","Is comfort alleen niet genoeg? Met de extra  krachtige Bosch-Active-Plus-middenmotor, de acht versnellingen en hydraulische remmen fiets je heel wat veilige én comfortabele kilometers weg! "
"1476",317219,8713568364089,"WAYZ E-GO ACT PLUS XN8 57 PARELMOER 500Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_1a9794a860.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_1_L_WEB72_b4cea39a66.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_2_L_WEB72_b4e1516c98.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_3_L_WEB72_8a9b6585a8.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_4_L_WEB72_24ea142c2c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_5_L_WEB72_c75ac8cec1.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_6_L_WEB72_3196978190.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_7_L_WEB72_7343031c6a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100801/BE100801_8_L_WEB72_deb317fef0.jpg","Is comfort alleen niet genoeg? Met de extra  krachtige Bosch-Active-Plus-middenmotor, de acht versnellingen en hydraulische remmen fiets je heel wat veilige én comfortabele kilometers weg! "
"1477",317220,8713568364034,"WAYZ E-GO ACT PLUS XN8 48 TITAAN-M 500Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_f80ecf0609.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_1_L_WEB72_c8f6d29a83.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_2_L_WEB72_0ee934fc21.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_3_L_WEB72_82f3e38065.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_4_L_WEB72_9ec0169d41.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_5_L_WEB72_f7983ea05b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_6_L_WEB72_9ef99cc4b1.jpg","Is comfort alleen niet genoeg? Met de extra  krachtige Bosch-Active-Plus-middenmotor, de acht versnellingen en hydraulische remmen fiets je heel wat veilige én comfortabele kilometers weg! "
"1478",317221,8713568364041,"WAYZ E-GO ACT PLUS XN8 53 TITAAN-M 500Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_f80ecf0609.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_1_L_WEB72_c8f6d29a83.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_2_L_WEB72_0ee934fc21.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_3_L_WEB72_82f3e38065.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_4_L_WEB72_9ec0169d41.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_5_L_WEB72_f7983ea05b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_6_L_WEB72_9ef99cc4b1.jpg","Is comfort alleen niet genoeg? Met de extra  krachtige Bosch-Active-Plus-middenmotor, de acht versnellingen en hydraulische remmen fiets je heel wat veilige én comfortabele kilometers weg! "
"1479",317222,8713568364058,"WAYZ E-GO ACT PLUS XN8 57 TITAAN-M 500Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_f80ecf0609.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_1_L_WEB72_c8f6d29a83.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_2_L_WEB72_0ee934fc21.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_3_L_WEB72_82f3e38065.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_4_L_WEB72_9ec0169d41.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_5_L_WEB72_f7983ea05b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100798/BE100798_6_L_WEB72_9ef99cc4b1.jpg","Is comfort alleen niet genoeg? Met de extra  krachtige Bosch-Active-Plus-middenmotor, de acht versnellingen en hydraulische remmen fiets je heel wat veilige én comfortabele kilometers weg! "
"1480",317223,8713568361989,"WAYZ E-GO ACT PLUS XN8 48 ZWART-M 500Wh","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100794/BE100794_a072d71453.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100794/BE100794_1_L_WEB72_5d88ad4d9b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100794/BE100794_2_L_WEB72_df926551cd.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100794/BE100794_3_L_WEB72_b852164570.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100794/BE100794_4_L_WEB72_ade88895d5.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100794/BE100794_5_L_WEB72_c60b646847.jpg","Is comfort alleen niet genoeg? Met de extra  krachtige Bosch-Active-Plus-middenmotor, de acht versnellingen en hydraulische remmen fiets je heel wat veilige én comfortabele kilometers weg! "
