"PIM.ID","EAN","External.Title","Short.description","Long.description","brand","tl_item.ASSETS.0","Articlenumber","modeljaar","consumentenadviesprijs","Model.Number","framemateriaal","Type.frame.DST"
364960,8713568367899,"CNCTD-24 DR3 ALPINE-WIT MAT 38","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 24 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 24 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100058/BK100058_f7a4006c1c.jpg","BK100058        ",2019,"€ 459,00","BACNCM24W","Aluminium","Female"
364961,8713568367882,"CNCTD-24 DR3 ZWART-MAT 38","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 24 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 24 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100057/BK100057_883ff4e3f1.jpg","BK100057        ",2019,"€ 459,00","BACNCM24Z","Aluminium","Female"
364962,8713568367929,"CNCTD-26 DR3 GROEN-MAT 43","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100061/BK100061_5b55669e8a.jpg","BK100061        ",2019,"€ 459,00","BACNCM26G","Aluminium","Female"
364963,8713568367912,"CNCTD-26 DR3 ALPINE-WIT MAT 43","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100060/BK100060_e53dc61827.jpg","BK100060        ",2019,"€ 459,00","BACNCM26W","Aluminium","Female"
364964,8713568367936,"CNCTD-26 DR3 ZWART-MAT 43","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100062/BK100062_c5fd640065.jpg","BK100062        ",2019,"€ 459,00","BACNCM26Z","Aluminium","Female"
364965,8713568367776,"STAR-24 DR3 LICHTROZE-MAT 38","De ideale meidenfiets voor echte sterren met een volwassen ‘look’. In fraaie zachte kleuren en passende framevorm die aanspreken bij de echte jonge dames. Uiteraard voorzien van dubbele rem en slot. ","De ideale meidenfiets voor echte sterren met een volwassen ‘look’. In fraaie zachte kleuren en passende framevorm die aanspreken bij de echte jonge dames. Uiteraard voorzien van dubbele rem en slot. ","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100049/BK100049_18c86ce95a.jpg","BK100049        ",2019,"€ 419,00","BASTA24MR","Aluminium","Female"
364966,8713568367790,"STAR-24 DR3 TURQUOISE-MAT 38","De ideale meidenfiets voor echte sterren met een volwassen ‘look’. In fraaie zachte kleuren en passende framevorm die aanspreken bij de echte jonge dames. Uiteraard voorzien van dubbele rem en slot. ","De ideale meidenfiets voor echte sterren met een volwassen ‘look’. In fraaie zachte kleuren en passende framevorm die aanspreken bij de echte jonge dames. Uiteraard voorzien van dubbele rem en slot. ","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100051/BK100051_66c6e38ba7.jpg","BK100051        ",2019,"€ 419,00","BASTA24MT","Aluminium","Female"
364967,8713568367813,"STAR-24 DR3 IJSBLAUW-MAT 38","De ideale meidenfiets voor echte sterren met een volwassen ‘look’. In fraaie zachte kleuren en passende framevorm die aanspreken bij de echte jonge dames. Uiteraard voorzien van dubbele rem en slot. ","De ideale meidenfiets voor echte sterren met een volwassen ‘look’. In fraaie zachte kleuren en passende framevorm die aanspreken bij de echte jonge dames. Uiteraard voorzien van dubbele rem en slot. ","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100053/BK100053_cc1aa61ee1.jpg","BK100053        ",2019,"€ 419,00","BASTA24MYB","Aluminium","Female"
364968,8713568367783,"STAR-26 DR3 LICHTROZE-MAT 43","De ideale meidenfiets voor echte sterren met een volwassen ‘look’. In fraaie zachte kleuren en passende framevorm die aanspreken bij de echte jonge dames. Uiteraard voorzien van dubbele rem en slot. ","De ideale meidenfiets voor echte sterren met een volwassen ‘look’. In fraaie zachte kleuren en passende framevorm die aanspreken bij de echte jonge dames. Uiteraard voorzien van dubbele rem en slot. ","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100050/BK100050_1ec2dd0a7f.jpg","BK100050        ",2019,"€ 419,00","BASTA26MR","Aluminium","Female"
370352,8713568388337,"WAYZ E-GO ACT+ BELT XN8 GRIJS 48 NO BATT","Op deze exclusieve e-bike met extra krachtige middenmotor en onderhoudsvrije riemaandrijving fiets je luxe en uiterst comfortabel
","""Lekker actief zijn in de buitenlucht is heerlijk. Dat wordt helemaal een genot met een krachtpatser als de Wayz E-go® Active Plus Exclusive. Op deze allround e-bike met extra krachtige Bosch Active plus middenmotor, Shimano Nexus 8 versnellingen en onderhoudsvrije riemaandrijving is het comfortabel én luxe fietsen. Deze e-bike is voorzien van comfortabele voor- en zadelvering zodat lange dagen in het zadel geen probleem zijn. Ook is hij voorzien van sterke hydraulische remmen voor extra veilige stops. ""
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE101171/BE101171_e7581d0ed0.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE101171/BE101171_1_1ada76c251.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE101171/BE101171_2_6e6bdf47a2.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE101171/BE101171_3_080a01a263.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE101171/BE101171_4_50c89824bd.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE101171/BE101171_5_fa327f9744.jpg","BE101170        ",2019,"€ 2.649,00","BAWABDG","Aluminium","Unisex"
